"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"8872eff5-498a-4292-a030-db7d5c8e6d5f","633384","Temp/ Humidity 1","11/19/2022 8:08 AM","38.75","38.75% @ 21.3° C","100","38.75,21.34,6.7,43.4,20.5,13.2","0","964010","False","100","2.73"
"e8cfc82b-ec65-4555-9591-5f8879a11124","633384","Temp/ Humidity 1","11/19/2022 7:48 AM","38.37","38.37% @ 21.3° C","100","38.37,21.29,6.6,42.8,20.5,13.1","0","964010","False","100","2.73"
"8fc16718-500f-43ee-887d-02ccf9361b5a","633384","Temp/ Humidity 1","11/19/2022 7:28 AM","37.95","37.95% @ 21.4° C","100","37.95,21.42,6.5,42.7,20.6,13.2","0","964010","False","100","2.73"
"7ed3cd95-81a6-44af-8438-c643c70e5406","633384","Temp/ Humidity 1","11/19/2022 7:08 AM","37.83","37.83% @ 21.4° C","100","37.83,21.43,6.5,42.6,20.6,13.2","0","964010","False","100","2.73"
"13a4fc0b-346c-4350-a215-954280bb29ad","633384","Temp/ Humidity 1","11/19/2022 6:48 AM","37.57","37.57% @ 21.7° C","100","37.57,21.67,6.6,43,20.9,13.3","0","964010","False","100","2.73"
"595e7089-d096-4cb5-85fd-ee9792b60a19","633384","Temp/ Humidity 1","11/19/2022 6:28 AM","38.44","38.44% @ 21.2° C","100","38.44,21.21,6.5,42.7,20.4,13.1","0","964010","False","100","2.73"
"9efe69dc-0a83-4881-828f-850a0c40f57e","633384","Temp/ Humidity 1","11/19/2022 6:08 AM","38.93","38.93% @ 21° C","100","38.93,20.98,6.5,42.6,20.2,13","0","964010","False","100","2.73"
"15985bdd-438c-4f51-a4df-de3196119c20","633384","Temp/ Humidity 1","11/19/2022 5:48 AM","39.28","39.28% @ 21° C","100","39.28,20.98,6.6,43,20.2,13","0","964010","False","100","2.73"
"ee0a6fab-b34f-4666-abc9-b16bf203134b","633384","Temp/ Humidity 1","11/19/2022 5:28 AM","39.39","39.39% @ 21° C","100","39.39,20.98,6.7,43.1,20.2,13","0","964010","False","100","2.73"
"1246d3c5-2fae-4cf7-80bf-b3463771f260","633384","Temp/ Humidity 1","11/19/2022 5:08 AM","39.38","39.38% @ 21° C","100","39.38,20.99,6.7,43.1,20.2,13","0","964010","False","100","2.73"
"7aa5a2c4-ae28-44f6-844a-b0d1582430aa","633384","Temp/ Humidity 1","11/19/2022 4:48 AM","39.52","39.52% @ 21° C","100","39.52,20.99,6.7,43.3,20.2,13","0","964010","False","100","2.73"
