"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"1cb3aae5-e07e-4b8e-871e-ffc56cfefaf2","814111","Vibration Meter 1","11/19/2022 8:10 AM","0.5","X-Axis 0.5 mm/s 14 Hz, Y-Axis 0.6 mm/s 12 Hz, Z-Axis 0.5 mm/s 14 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|14|12|14|100|2","2","964010","False","100","2.96"
"a241eed5-eb1a-4337-ad3a-70db03b00946","814111","Vibration Meter 1","11/19/2022 8:00 AM","0.5","X-Axis 0.5 mm/s 15 Hz, Y-Axis 0.6 mm/s 12 Hz, Z-Axis 0.5 mm/s 15 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|15|12|15|100|2","2","964010","False","100","2.96"
"b2344f6d-11c0-492d-a7f4-aafc08d8a25d","814111","Vibration Meter 1","11/19/2022 7:50 AM","0.5","X-Axis 0.5 mm/s 13 Hz, Y-Axis 0.7 mm/s 12 Hz, Z-Axis 0.6 mm/s 14 Hz, Duty Cycle 100 %","100","0.5|0.7|0.6|13|12|14|100|2","2","964010","False","100","2.96"
"18eaf1f6-4502-40ae-8775-3f3ae73f60c6","814111","Vibration Meter 1","11/19/2022 7:40 AM","0.5","X-Axis 0.5 mm/s 13 Hz, Y-Axis 0.6 mm/s 10 Hz, Z-Axis 0.5 mm/s 12 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|13|10|12|100|2","2","964010","False","100","2.96"
"f45e11d5-a652-4c80-8cd4-20a6aa8e7464","814111","Vibration Meter 1","11/19/2022 7:30 AM","0.5","X-Axis 0.5 mm/s 12 Hz, Y-Axis 0.7 mm/s 14 Hz, Z-Axis 0.5 mm/s 14 Hz, Duty Cycle 100 %","100","0.5|0.7|0.5|12|14|14|100|2","2","964010","False","100","2.96"
"1d7cc038-7445-4e44-bcbc-eae710c9a1f8","814111","Vibration Meter 1","11/19/2022 7:20 AM","0.5","X-Axis 0.5 mm/s 15 Hz, Y-Axis 0.6 mm/s 11 Hz, Z-Axis 0.5 mm/s 16 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|15|11|16|100|2","2","964010","False","100","2.96"
"96e8f6bc-35be-473e-8455-b4583bed4f06","814111","Vibration Meter 1","11/19/2022 7:10 AM","0.5","X-Axis 0.5 mm/s 12 Hz, Y-Axis 0.6 mm/s 14 Hz, Z-Axis 0.5 mm/s 14 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|12|14|14|100|2","2","964010","False","100","2.96"
"ba00e6aa-61ef-4883-bda4-04bbb2289d2c","814111","Vibration Meter 1","11/19/2022 7:00 AM","0.6","X-Axis 0.6 mm/s 9 Hz, Y-Axis 0.7 mm/s 14 Hz, Z-Axis 0.7 mm/s 15 Hz, Duty Cycle 100 %","100","0.6|0.7|0.7|9|14|15|100|2","2","964010","False","100","2.96"
"e2fa80ea-3bb6-429b-812e-e901fe362959","814111","Vibration Meter 1","11/19/2022 6:50 AM","0.5","X-Axis 0.5 mm/s 15 Hz, Y-Axis 0.7 mm/s 10 Hz, Z-Axis 0.6 mm/s 12 Hz, Duty Cycle 100 %","100","0.5|0.7|0.6|15|10|12|100|2","2","964010","False","100","2.96"
"118d9748-c626-48e9-86b6-843562e9a3a0","814111","Vibration Meter 1","11/19/2022 6:40 AM","0.5","X-Axis 0.5 mm/s 15 Hz, Y-Axis 0.6 mm/s 14 Hz, Z-Axis 0.5 mm/s 9 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|15|14|9|100|2","2","964010","False","100","2.96"
"61cb38c4-97dd-4542-acec-4ba2cc8d7c3f","814111","Vibration Meter 1","11/19/2022 6:30 AM","0.5","X-Axis 0.5 mm/s 14 Hz, Y-Axis 0.6 mm/s 13 Hz, Z-Axis 0.6 mm/s 16 Hz, Duty Cycle 100 %","100","0.5|0.6|0.6|14|13|16|100|2","2","964010","False","100","2.96"
"5fa4b6e5-7d79-49c5-ba34-4007f65484a9","814111","Vibration Meter 1","11/19/2022 6:20 AM","0.5","X-Axis 0.5 mm/s 13 Hz, Y-Axis 0.6 mm/s 12 Hz, Z-Axis 0.5 mm/s 16 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|13|12|16|100|2","2","964010","False","100","2.96"
"f589c82b-d8f4-4a88-a095-6a1b14430565","814111","Vibration Meter 1","11/19/2022 6:10 AM","0.5","X-Axis 0.5 mm/s 13 Hz, Y-Axis 0.6 mm/s 10 Hz, Z-Axis 0.5 mm/s 11 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|13|10|11|100|2","2","964010","False","100","2.96"
"778d030c-1d3f-42b3-88d3-dbb446d52006","814111","Vibration Meter 1","11/19/2022 6:00 AM","0.5","X-Axis 0.5 mm/s 15 Hz, Y-Axis 0.6 mm/s 14 Hz, Z-Axis 0.5 mm/s 12 Hz, Duty Cycle 100 %","100","0.5|0.6|0.5|15|14|12|100|2","2","964010","False","100","2.96"
